time_s,ue_id,cpu_j,radio_j,total_j
10.0769,9,6.85036,0.896,7.74636
10.0862,18,9.93344,1.28,11.2134
10.2907,5,6.9128,0.896,7.8088
10.3139,21,12.8208,1.664,14.4848
10.5523,7,8.04935,1.024,9.07335
10.5564,21,12.8208,1.664,14.4848
10.6693,15,7.22788,0.896,8.12388
10.8761,20,4.95596,0.64,5.59596
10.8774,24,6.1266,0.768,6.8946
10.8787,9,8.92223,1.152,10.0742
10.9037,16,8.07249,1.024,9.09649
11.0723,15,7.22788,0.896,8.12388
11.1605,20,4.95596,0.64,5.59596
11.2222,17,5.95945,0.768,6.72745
11.2272,14,5.97707,0.768,6.74507
11.2803,22,7.97159,1.024,8.99559
11.3543,9,8.92223,1.152,10.0742
11.6173,5,7.91272,1.024,8.93672
11.6439,19,9.92553,1.28,11.2055
11.7396,19,9.92553,1.28,11.2055
12.1158,20,5.96189,0.768,6.72989
12.1989,18,10.8851,1.408,12.2931
12.4209,17,8.00127,1.024,9.02527
12.4435,7,8.9978,1.152,10.1498
12.4695,21,13.831,1.792,15.623
12.5786,14,7.07149,0.896,7.96749
12.9882,9,9.90208,1.28,11.1821
13.0066,11,8.22456,1.024,9.24856
13.0786,17,8.00127,1.024,9.02527
13.0816,18,11.9268,1.536,13.4628
13.1474,23,4.96288,0.64,5.60288
13.1827,11,8.22456,1.024,9.24856
13.3657,5,8.97088,1.152,10.1229
13.4733,7,13.2217,1.664,14.8857
13.507,10,4.89128,0.64,5.53128
13.5282,7,13.2217,1.664,14.8857
13.5831,7,14.2602,1.792,16.0522
13.685,19,11.8988,1.536,13.4348
13.76,6,5.84754,0.768,6.61554
13.8359,19,11.8988,1.536,13.4348
13.8407,7,14.2602,1.792,16.0522
13.9762,14,8.06753,1.024,9.09153
14.0747,23,6.02069,0.768,6.78869
14.2398,13,6.19783,0.768,6.96583
14.2488,7,14.2602,1.792,16.0522
14.3131,18,13.8709,1.792,15.6629
14.3191,16,9.00761,1.152,10.1596
14.4135,18,13.8709,1.792,15.6629
14.5752,21,14.741,1.92,16.661
14.732,14,10.1348,1.28,11.4148
14.9612,20,6.86554,0.896,7.76154
14.9669,5,10.0238,1.28,11.3038
15.0215,11,9.21886,1.152,10.3709
15.0234,23,7.0688,0.896,7.9648
15.1125,14,10.1348,1.28,11.4148
15.1151,18,14.8006,1.92,16.7206
15.2063,13,7.21073,0.896,8.10673
15.3737,15,8.16159,1.024,9.18559
15.419,10,6.93667,0.896,7.83267
15.6916,22,8.88698,1.152,10.039
15.8301,7,15.3299,1.92,17.2499
15.8491,10,6.93667,0.896,7.83267
16.1006,20,7.91221,1.024,8.93621
16.227,17,9.05153,1.152,10.2035
16.2309,15,10.0051,1.28,11.2851
16.248,13,8.27262,1.024,9.29662
16.5013,8,10.8873,1.408,12.2953
16.7511,15,10.0051,1.28,11.2851
16.779,19,12.8071,1.664,14.4711
17.1908,13,9.34062,1.152,10.4926
17.2021,14,11.1564,1.408,12.5644
17.2296,7,17.3442,2.176,19.5202
17.3183,7,17.3442,2.176,19.5202
17.6114,11,10.2302,1.28,11.5102
17.6561,24,7.07518,0.896,7.97118
17.7183,16,10.0614,1.28,11.3414
17.8366,6,6.90547,0.896,7.80147
17.8457,5,11.0474,1.408,12.4554
18.1203,21,15.6867,2.048,17.7347
18.1471,17,9.99194,1.28,11.2719
18.1712,10,7.87098,1.024,8.89498
18.3027,19,13.9021,1.792,15.6941
18.3666,8,11.9475,1.536,13.4835
18.5412,23,8.11967,1.024,9.14367
18.727,9,10.8538,1.408,12.2618
18.8379,15,11.9959,1.536,13.5319
19.0185,15,11.9959,1.536,13.5319
19.0445,8,14.0154,1.792,15.8074
19.0759,12,5.02868,0.64,5.66868
19.0999,8,14.0154,1.792,15.8074
19.1355,24,8.01093,1.024,9.03493
19.2626,16,11.0712,1.408,12.4792
19.2892,12,5.02868,0.64,5.66868
19.4651,9,11.9359,1.536,13.4719
19.5478,14,13.1381,1.664,14.8021
19.5747,7,18.3094,2.304,20.6134
19.7512,14,13.1381,1.664,14.8021
19.8704,10,9.94069,1.28,11.2207
20.0219,21,16.5951,2.176,18.7711
20.0967,10,9.94069,1.28,11.2207
20.2815,23,10.0478,1.28,11.3278
20.4579,11,11.3043,1.408,12.7123
20.6109,14,14.1309,1.792,15.9229
20.7536,10,10.9178,1.408,12.3258
20.859,23,10.0478,1.28,11.3278
20.9804,15,12.9658,1.664,14.6298
21.0962,6,7.96284,1.024,8.98684
21.1073,17,10.9331,1.408,12.3411
21.2076,24,11.0881,1.408,12.4961
21.3339,24,11.0881,1.408,12.4961
21.3647,16,11.9962,1.536,13.5322
21.4391,24,11.0881,1.408,12.4961
21.4856,5,12.0619,1.536,13.5979
21.4907,13,10.3767,1.28,11.6567
21.7048,22,9.88253,1.28,11.1625
21.7353,11,13.2395,1.664,14.9035
21.8239,18,15.821,2.048,17.869
21.8439,19,14.9533,1.92,16.8733
21.8964,11,13.2395,1.664,14.9035
22.3589,21,18.5643,2.432,20.9963
22.4722,15,13.9304,1.792,15.7224
22.6104,6,9.03053,1.152,10.1825
22.669,21,18.5643,2.432,20.9963
22.6869,10,12.9298,1.664,14.5938
22.7276,14,16.0472,2.048,18.0952
22.7736,17,12.817,1.664,14.481
22.8482,17,12.817,1.664,14.481
22.858,7,19.2105,2.432,21.6425
22.8965,12,6.0975,0.768,6.8655
22.9835,13,12.3908,1.536,13.9268
23.0858,10,12.9298,1.664,14.5938
23.1326,16,12.9937,1.664,14.6577
23.323,14,17.0529,2.176,19.2289
23.4422,22,10.8652,1.408,12.2732
23.593,13,12.3908,1.536,13.9268
23.6123,14,17.0529,2.176,19.2289
23.9516,5,13.1126,1.664,14.7766
24.0372,10,14.0089,1.792,15.8009
24.0533,6,9.95558,1.28,11.2356
24.1307,19,15.9663,2.048,18.0143
24.1508,15,15.0221,1.92,16.9421
24.3597,16,13.9853,1.792,15.7773
24.8635,15,16.9663,2.176,19.1423
24.8882,6,10.8637,1.408,12.2717
25.0692,7,20.1763,2.56,22.7363
25.1811,16,14.9276,1.92,16.8476
25.2863,18,17.8579,2.304,20.1619
25.3279,12,7.02874,0.896,7.92474
25.3529,5,14.1747,1.792,15.9667
25.4298,15,16.9663,2.176,19.1423
25.477,14,18.1113,2.304,20.4153
25.6312,18,17.8579,2.304,20.1619
25.6704,13,13.3514,1.664,15.0154
26.0089,7,21.2396,2.688,23.9276
26.1295,19,16.9411,2.176,19.1171
26.3751,15,18.0497,2.304,20.3537
26.4846,14,19.1597,2.432,21.5917
26.7354,16,15.9989,2.048,18.0469
27.207,24,12.0397,1.536,13.5757
27.3243,17,15.8225,2.048,17.8705
27.4456,14,20.0712,2.56,22.6312
27.5036,19,20.0674,2.56,22.6274
27.582,6,12.941,1.664,14.605
27.6574,17,16.8028,2.176,18.9788
27.8298,19,20.0674,2.56,22.6274
27.8433,19,20.0674,2.56,22.6274
27.9427,24,12.9811,1.664,14.6451
27.9718,20,8.81733,1.152,9.96933
28.0005,5,15.2571,1.92,17.1771
28.0029,17,16.8028,2.176,18.9788
28.0283,17,16.8028,2.176,18.9788
28.2097,6,14.974,1.92,16.894
28.2853,7,22.2296,2.816,25.0456
28.4077,6,14.974,1.92,16.894
28.613,6,14.974,1.92,16.894
28.6131,22,13.9322,1.792,15.7242
28.6584,24,14.9692,1.92,16.8892
28.9676,20,9.8738,1.28,11.1538
29.0024,15,19.0177,2.432,21.4497
29.0535,22,14.9694,1.92,16.8894
29.0746,24,14.9692,1.92,16.8892
29.1797,22,14.9694,1.92,16.8894
29.4935,16,16.9272,2.176,19.1032
29.5669,12,8.05949,1.024,9.08349
29.5701,17,18.8723,2.432,21.3043
29.672,20,11.827,1.536,13.363
29.7202,20,11.827,1.536,13.363
29.7207,22,14.9694,1.92,16.8894
29.8194,21,19.567,2.56,22.127
29.9332,23,11.066,1.408,12.474
29.996,9,14.0039,1.792,15.7959
30.0726,17,18.8723,2.432,21.3043
30.164,18,18.8726,2.432,21.3046
30.2806,9,15.052,1.92,16.972
30.4256,11,15.2253,1.92,17.1453
30.4802,11,15.2253,1.92,17.1453
30.5979,5,17.0881,2.176,19.2641
30.6224,20,12.9126,1.664,14.5766
30.6528,22,15.9475,2.048,17.9955
30.7369,9,16.1272,2.048,18.1752
30.8735,7,23.2355,2.944,26.1795
30.8779,12,10.0556,1.28,11.3356
30.8861,5,17.0881,2.176,19.2641
30.9268,6,15.9203,2.048,17.9683
31.0335,10,14.961,1.92,16.881
31.0647,12,10.0556,1.28,11.3356
31.1638,21,20.4944,2.688,23.1824
31.371,9,16.1272,2.048,18.1752
31.3932,23,12.1401,1.536,13.6761
31.5752,22,18.1332,2.304,20.4372
31.6699,6,16.9412,2.176,19.1172
31.762,5,18.0801,2.304,20.3841
31.841,19,21.0065,2.688,23.6945
32.0677,15,21.0562,2.688,23.7442
32.1606,22,19.1596,2.432,21.5916
32.3106,15,21.9654,2.816,24.7814
32.3384,23,13.0974,1.664,14.7614
32.5618,22,19.1596,2.432,21.5916
32.7162,15,24.0378,3.072,27.1098
32.7255,21,21.5222,2.816,24.3382
32.83,6,18.9836,2.432,21.4156
32.8824,24,15.9006,2.048,17.9486
32.9645,20,13.8225,1.792,15.6145
32.9751,9,17.1266,2.176,19.3026
33.0717,6,18.9836,2.432,21.4156
33.0786,15,25.0159,3.2,28.2159
33.1313,17,19.8793,2.56,22.4393
33.1493,15,25.0159,3.2,28.2159
33.282,14,22.1829,2.816,24.9989
33.3158,11,17.2114,2.176,19.3874
33.3175,11,17.2114,2.176,19.3874
33.3368,14,22.1829,2.816,24.9989
33.4713,15,25.0159,3.2,28.2159
33.7003,10,16.0138,2.048,18.0618
33.7038,5,19.0571,2.432,21.4891
33.7623,23,14.0909,1.792,15.8829
33.7675,24,17.8186,2.304,20.1226
33.798,20,15.8154,2.048,17.8634
33.8635,6,19.8941,2.56,22.4541
33.9972,21,22.5242,2.944,25.4682
34.0198,20,16.7731,2.176,18.9491
34.0319,24,17.8186,2.304,20.1226
34.1262,9,19.2262,2.432,21.6582
34.1681,13,14.3561,1.792,16.1481
34.1807,9,19.2262,2.432,21.6582
34.3489,5,19.9832,2.56,22.5432
34.4283,15,26.0326,3.328,29.3606
34.5647,7,24.181,3.072,27.253
34.6172,20,17.8382,2.304,20.1422
34.6935,8,16.0464,2.048,18.0944
34.8574,24,18.7238,2.432,21.1558
34.9304,18,19.9197,2.56,22.4797
34.983,11,18.1527,2.304,20.4567
35.1859,8,16.0464,2.048,18.0944
35.216,22,20.2013,2.56,22.7613
35.2721,20,18.833,2.432,21.265
35.2836,20,18.833,2.432,21.265
35.3177,16,17.9223,2.304,20.2263
35.4968,5,20.8849,2.688,23.5729
35.5487,12,11.1477,1.408,12.5557
35.913,22,21.1218,2.688,23.8098
35.9771,14,23.1754,2.944,26.1194
36.1497,18,22.9465,2.944,25.8905
36.2993,23,15.1528,1.92,17.0728
36.3085,9,20.207,2.56,22.767
36.4291,18,24.8149,3.2,28.0149
36.4777,15,27.0844,3.456,30.5404
36.617,18,24.8149,3.2,28.0149
36.6364,10,17.102,2.176,19.278
36.728,7,25.2759,3.2,28.4759
36.7641,14,24.21,3.072,27.282
36.7957,18,24.8149,3.2,28.0149
36.8043,11,19.2397,2.432,21.6717
36.8135,18,24.8149,3.2,28.0149
36.8657,6,20.9821,2.688,23.6701
37.0165,22,23.025,2.944,25.969
37.0615,24,19.6934,2.56,22.2534
37.0934,20,19.8088,2.56,22.3688
37.0948,22,23.025,2.944,25.969
37.1438,19,22.0174,2.816,24.8334
37.2913,12,12.1558,1.536,13.6918
37.3098,15,27.9955,3.584,31.5795
37.3532,21,24.5595,3.2,27.7595
37.3533,13,15.3711,1.92,17.2911
37.5853,17,22.7984,2.944,25.7424
37.6043,21,24.5595,3.2,27.7595
37.6574,5,22.9437,2.944,25.8877
37.6603,17,22.7984,2.944,25.7424
37.7949,17,23.8052,3.072,26.8772
38.0037,6,21.9219,2.816,24.7379
38.0465,7,26.2929,3.328,29.6209
38.0956,9,22.308,2.816,25.124
38.1166,18,25.7966,3.328,29.1246
38.2086,22,24.0312,3.072,27.1032
38.3163,5,23.8494,3.072,26.9214
38.3621,17,23.8052,3.072,26.8772
38.4279,5,23.8494,3.072,26.9214
38.4743,13,16.4188,2.048,18.4668
38.5137,11,21.1793,2.688,23.8673
38.5355,23,16.159,2.048,18.207
38.6239,11,21.1793,2.688,23.8673
38.699,19,23.0779,2.944,26.0219
38.7362,9,22.308,2.816,25.124
38.9165,15,30.8849,3.968,34.8529
38.9565,18,27.7946,3.584,31.3786
39.1876,18,27.7946,3.584,31.3786
39.4312,15,30.8849,3.968,34.8529
39.4518,15,30.8849,3.968,34.8529
39.6718,11,22.089,2.816,24.905
40.1174,16,19.0062,2.432,21.4382
40.1643,10,18.1997,2.304,20.5037
40.2713,20,20.7977,2.688,23.4857
40.3871,22,24.9656,3.2,28.1656
40.4552,15,31.8584,4.096,35.9544
40.796,21,25.5661,3.328,28.8941
40.8378,19,24.176,3.072,27.248
40.9185,14,25.256,3.2,28.456
41.0547,11,23.0342,2.944,25.9782
41.064,10,20.2818,2.56,22.8418
41.2368,15,32.8351,4.224,37.0591
41.5814,20,22.8066,2.944,25.7506
41.6814,10,20.2818,2.56,22.8418
41.7478,8,17.0695,2.176,19.2455
41.8037,7,27.3687,3.456,30.8247
41.8813,18,28.8338,3.712,32.5458
42.0411,20,22.8066,2.944,25.7506
42.0681,17,24.8886,3.2,28.0886
42.1539,5,26.6742,3.456,30.1302
42.2973,16,21.0639,2.688,23.7519
42.3035,22,25.8876,3.328,29.2156
42.3769,5,26.6742,3.456,30.1302
42.6595,13,19.3312,2.432,21.7632
42.6777,7,28.3509,3.584,31.9349
42.761,5,26.6742,3.456,30.1302
42.8546,13,19.3312,2.432,21.7632
42.9007,16,21.0639,2.688,23.7519
42.908,15,33.8864,4.352,38.2384
42.9675,19,26.2471,3.328,29.5751
42.9865,13,19.3312,2.432,21.7632
43.0988,24,20.7118,2.688,23.3998
43.1605,8,18.1451,2.304,20.4491
43.2952,17,25.9614,3.328,29.2894
43.3795,18,30.7915,3.968,34.7595
43.4329,19,26.2471,3.328,29.5751
43.5937,12,14.0123,1.792,15.8043
43.6367,18,30.7915,3.968,34.7595
43.8698,10,21.2022,2.688,23.8902
43.9167,12,14.0123,1.792,15.8043
44.0309,24,22.6592,2.944,25.6032
44.1345,24,22.6592,2.944,25.6032
44.3414,14,27.1374,3.456,30.5934
44.5362,15,35.9436,4.608,40.5516
44.6462,14,27.1374,3.456,30.5934
44.7096,21,26.5047,3.456,29.9607
44.7333,16,23.191,2.944,26.135
44.7928,5,27.7101,3.584,31.2941
44.8208,16,23.191,2.944,26.135
44.9517,13,21.3037,2.688,23.9917
44.9841,15,35.9436,4.608,40.5516
45.1261,13,21.3037,2.688,23.9917
45.2108,6,23.919,3.072,26.991
45.3042,24,24.5936,3.2,27.7936
45.3548,9,24.4139,3.072,27.4859
45.696,8,19.1144,2.432,21.5464
45.6989,6,23.919,3.072,26.991
45.8033,9,25.472,3.2,28.672
45.9002,24,25.607,3.328,28.935
46.0364,17,28.1073,3.584,31.6913
46.0832,13,22.2365,2.816,25.0525
46.1258,23,17.0915,2.176,19.2675
46.2131,17,28.1073,3.584,31.6913
46.2691,21,28.4995,3.712,32.2115
46.439,21,28.4995,3.712,32.2115
46.458,24,26.6758,3.456,30.1318
46.4592,7,29.3176,3.712,33.0296
46.4761,9,25.472,3.2,28.672
46.5183,16,24.1212,3.072,27.1932
46.8406,19,28.3447,3.584,31.9287
46.9988,6,25.88,3.328,29.208
47.029,10,22.1788,2.816,24.9948
47.0827,24,26.6758,3.456,30.1318
47.2444,6,25.88,3.328,29.208
47.4051,19,28.3447,3.584,31.9287
47.6271,21,29.4014,3.84,33.2414
47.8003,7,30.3774,3.84,34.2174
47.8042,24,28.6598,3.712,32.3718
47.9375,24,28.6598,3.712,32.3718
48.1803,14,28.0437,3.584,31.6277
48.2306,8,21.1406,2.688,23.8286
48.3951,17,29.0104,3.712,32.7224
48.5461,7,31.3122,3.968,35.2802
48.8823,8,22.0422,2.816,24.8582
49.0924,13,24.2101,3.072,27.2821
49.1535,22,26.9309,3.456,30.3869
49.2958,10,23.2217,2.944,26.1657
49.4135,8,22.0422,2.816,24.8582
49.5414,15,36.8994,4.736,41.6354
49.713,13,25.1322,3.2,28.3322
49.7613,24,29.7285,3.84,33.5685
49.8499,22,27.8656,3.584,31.4496
49.9174,20,24.7108,3.2,27.9108
49.9313,16,25.1798,3.2,28.3798
49.9719,20,24.7108,3.2,27.9108
50.2467,18,31.8317,4.096,35.9277
50.2695,13,25.1322,3.2,28.3322
50.475,5,28.6536,3.712,32.3656
50.59,24,30.7211,3.968,34.6891
50.6591,8,22.9537,2.944,25.8977
50.6719,6,26.8731,3.456,30.3291
50.8824,7,32.2292,4.096,36.3252
51.1249,18,33.779,4.352,38.131
51.245,18,33.779,4.352,38.131
51.2647,10,24.166,3.072,27.238
51.381,22,29.8473,3.84,33.6873
51.4034,16,27.103,3.456,30.559
51.4438,13,27.2291,3.456,30.6851
51.5068,20,25.6637,3.328,28.9917
51.5265,16,27.103,3.456,30.559
51.5755,6,27.8903,3.584,31.4743
51.7627,22,29.8473,3.84,33.6873
51.8072,13,27.2291,3.456,30.6851
51.8228,24,31.6709,4.096,35.7669
52.3043,9,26.5103,3.328,29.8383
52.3119,7,33.3073,4.224,37.5313
52.329,10,26.0389,3.328,29.3669
52.649,6,28.8978,3.712,32.6098
52.6888,24,32.5967,4.224,36.8207
52.755,14,29.128,3.712,32.84
52.8336,16,29.1298,3.712,32.8418
52.8395,10,27.0198,3.456,30.4758
52.974,22,30.8624,3.968,34.8304
53.0362,23,18.1177,2.304,20.4217
53.0433,12,17.0678,2.176,19.2438
53.0782,13,28.1671,3.584,31.7511
53.1703,16,29.1298,3.712,32.8418
53.1715,15,37.9344,4.864,42.7984
53.1974,12,17.0678,2.176,19.2438
53.2254,7,35.2386,4.48,39.7186
53.2374,7,35.2386,4.48,39.7186
53.3838,10,27.0198,3.456,30.4758
53.4503,19,29.4436,3.712,33.1556
53.643,6,29.9756,3.84,33.8156
53.6611,12,19.168,2.432,21.6
53.7189,20,26.5673,3.456,30.0233
53.9769,22,31.8283,4.096,35.9243
54.2004,12,19.168,2.432,21.6
54.2046,12,19.168,2.432,21.6
54.2457,14,30.2092,3.84,34.0492
54.6134,16,30.9738,3.968,34.9418
54.7938,18,35.7309,4.608,40.3389
54.8346,5,29.7185,3.84,33.5585
54.928,16,30.9738,3.968,34.9418
55.0075,17,31.848,4.096,35.944
55.0161,10,27.9393,3.584,31.5233
55.0281,9,27.4951,3.456,30.9511
55.0813,18,35.7309,4.608,40.3389
55.326,14,32.3043,4.096,36.4003
55.3485,13,30.1211,3.84,33.9611
55.4212,14,32.3043,4.096,36.4003
55.4436,17,32.8794,4.224,37.1034
55.4726,12,20.2322,2.56,22.7922
55.5257,17,32.8794,4.224,37.1034
55.5281,11,25.1264,3.2,28.3264
55.5374,13,30.1211,3.84,33.9611
55.7378,8,23.9982,3.072,27.0702
55.7571,22,33.7914,4.352,38.1434
55.7961,22,33.7914,4.352,38.1434
55.8531,17,32.8794,4.224,37.1034
56.1945,11,26.0588,3.328,29.3868
56.2026,18,36.8283,4.736,41.5643
56.3044,10,28.9567,3.712,32.6687
56.3188,7,36.1947,4.608,40.8027
56.3589,12,21.3177,2.688,24.0057
56.4292,11,26.0588,3.328,29.3868
56.4405,9,29.4121,3.712,33.1241
56.4702,8,26.0314,3.328,29.3594
56.5175,5,30.6479,3.968,34.6159
56.7668,9,29.4121,3.712,33.1241
56.7879,8,26.0314,3.328,29.3594
56.8892,22,34.7771,4.48,39.2571
56.9083,13,33.08,4.224,37.304
57.1649,13,33.08,4.224,37.304
57.342,19,30.4693,3.84,34.3093
57.3576,7,38.0182,4.864,42.8822
57.372,15,38.9436,4.992,43.9356
57.4712,13,33.08,4.224,37.304
57.486,7,38.0182,4.864,42.8822
57.6629,16,33.9481,4.352,38.3001
58.0847,16,33.9481,4.352,38.3001
58.128,16,33.9481,4.352,38.3001
58.1535,19,32.5335,4.096,36.6295
58.1723,22,35.7979,4.608,40.4059
58.175,13,34.0739,4.352,38.4259
58.1812,19,32.5335,4.096,36.6295
58.1852,8,26.9683,3.456,30.4243
58.1958,20,27.4968,3.584,31.0808
58.4527,14,33.3021,4.224,37.5261
58.4747,21,30.4654,3.968,34.4334
58.5551,5,31.6074,4.096,35.7034
58.7421,12,22.2638,2.816,25.0798
59.2295,18,37.8904,4.864,42.7544
59.2349,21,31.425,4.096,35.521
59.3998,19,33.6322,4.224,37.8562
59.4412,22,36.7722,4.736,41.5082
59.5383,9,31.4164,3.968,35.3844
59.6021,14,34.3422,4.352,38.6942
59.886,12,23.2961,2.944,26.2401
59.8898,9,32.4322,4.096,36.5282
60.0792,21,32.434,4.224,36.658
60.2113,16,34.8935,4.48,39.3735
60.2144,10,29.9444,3.84,33.7844
60.4705,11,27.0234,3.456,30.4794
60.5406,9,32.4322,4.096,36.5282
60.6595,5,34.7867,4.48,39.2667
60.7778,24,34.6578,4.48,39.1378
60.8818,8,27.9662,3.584,31.5502
61.0284,24,34.6578,4.48,39.1378
61.0546,18,38.9274,4.992,43.9194
61.2885,5,34.7867,4.48,39.2667
61.3566,11,29.0902,3.712,32.8022
61.3634,5,34.7867,4.48,39.2667
61.4447,21,34.4297,4.48,38.9097
61.4475,11,29.0902,3.712,32.8022
61.5054,10,30.8788,3.968,34.8468
61.7633,21,35.3954,4.608,40.0034
62.057,14,35.4244,4.48,39.9044
62.077,13,35.9477,4.608,40.5557
62.1684,21,35.3954,4.608,40.0034
62.3824,8,29.0658,3.712,32.7778
62.4413,16,36.8824,4.736,41.6184
62.4822,13,35.9477,4.608,40.5557
62.6906,24,35.6116,4.608,40.2196
62.7684,7,39.0419,4.992,44.0339
62.9298,16,36.8824,4.736,41.6184
62.9307,11,31.0496,3.968,35.0176
63.1614,6,30.9111,3.968,34.8791
63.2811,23,19.1836,2.432,21.6156
63.3583,9,33.4893,4.224,37.7133
63.3789,21,37.4101,4.864,42.2741
63.5228,21,37.4101,4.864,42.2741
63.5667,11,31.0496,3.968,35.0176
63.7764,13,37.0121,4.736,41.7481
63.8181,7,39.9421,5.12,45.0621
63.8462,8,30.0077,3.84,33.8477
63.85,10,31.8502,4.096,35.9462
63.858,20,29.5767,3.84,33.4167
64.033,15,39.9319,5.12,45.0519
64.0786,5,36.6727,4.736,41.4087
64.1968,20,29.5767,3.84,33.4167
64.2681,5,36.6727,4.736,41.4087
64.4656,6,32.9288,4.224,37.1528
